日期,自營商未平倉多,自營商未平倉空,自營商未平倉淨額,投信未平倉多,投信未平倉空,投信未平倉淨額,外資未平倉多,外資未平倉空,外資未平倉淨額
20250102,6301,5365,936,31482,6031,25451,9023,52279,-43256
20250103,5069,5829,-760,31595,5919,25676,9809,49783,-39974
20250106,3769,6686,-2917,31853,5335,26518,15770,48632,-32862
20250107,3644,7002,-3358,31059,5256,25803,18069,48415,-30346
20250108,4990,6447,-1457,30748,5403,25345,17576,55028,-37452
20250109,5623,5917,-294,30444,5507,24937,16753,57753,-41000
20250110,5867,6271,-404,30753,5506,25247,15158,57106,-41948
20250113,7129,6247,882,31640,5716,25924,15340,58699,-43359
20250114,6889,5698,1191,31998,5654,26344,13324,55758,-42434
20250115,6324,5167,1157,32008,5750,26258,11383,50800,-39417
20250116,5678,6161,-483,30145,5588,24557,15832,52043,-36211
20250117,5339,6398,-1059,30055,5601,24454,14223,46086,-31863
20250120,5565,5615,-50,29833,5451,24382,14167,48888,-34721
20250121,4878,5601,-723,29858,5378,24480,15049,48744,-33695
20250122,4831,5579,-748,29747,5239,24508,17476,49602,-32126
20250203,6526,5613,913,30512,6044,24468,14961,51451,-36490
20250204,6218,5999,219,30681,6006,24675,14919,48984,-34065
20250205,5627,6485,-858,30503,5537,24966,17410,49218,-31808
20250206,5310,6632,-1322,30182,5493,24689,18422,49418,-30996
20250207,4791,7059,-2268,30069,5450,24619,19299,49161,-29862
20250210,6472,6642,-170,29654,5636,24018,17762,48723,-30961
20250211,6660,6715,-55,29370,5577,23793,18347,49686,-31339
20250212,6529,6581,-52,30225,5578,24647,19289,50503,-31214
20250213,5940,6143,-203,30125,5576,24549,20320,51784,-31464
20250214,8556,7616,940,30534,5634,24900,20681,55988,-35307
20250217,4986,6366,-1380,29663,5597,24066,24347,53831,-29484
20250218,4945,6359,-1414,29102,5565,23537,26481,55393,-28912
20250219,2781,5330,-2549,28611,5639,22972,22762,47513,-24751
20250220,3285,5352,-2067,29625,5704,23921,22965,47498,-24533
20250221,2771,5646,-2875,30265,5625,24640,22973,48228,-25255
20250224,3974,5393,-1419,29059,5751,23308,18917,50596,-31679
20250225,4471,5190,-719,28893,5852,23041,17957,53289,-35332
20250226,4122,5132,-1010,29275,5743,23532,18945,53958,-35013
20250227,4259,4744,-485,30626,5868,24758,15670,52389,-36719
20250303,6299,4795,1504,32299,5991,26308,13402,59957,-46555
20250304,6258,5071,1187,33062,5919,27143,14069,58092,-44023
20250305,5736,6480,-744,33324,5789,27535,15016,55930,-40914
20250306,6310,5974,336,33485,5849,27636,14238,54723,-40485
20250307,6257,5179,1078,33065,6004,27061,14205,54663,-40458
20250310,6904,4810,2094,33344,6085,27259,13920,56546,-42626
20250311,7508,4496,3012,34420,6421,27999,13327,59024,-45697
20250312,7830,6235,1595,35628,6565,29063,13337,56746,-43409
20250313,7161,6204,957,36603,6821,29782,15760,57492,-41732
20250314,7133,5676,1457,36997,7056,29941,16230,58107,-41877
20250317,6526,6727,-201,37341,7068,30273,18785,58347,-39562
20250318,6811,7798,-987,37083,6999,30084,21709,60909,-39200
20250319,4870,4530,340,36504,6913,29591,15254,51650,-36396
20250320,4034,5642,-1608,36372,6707,29665,17545,50707,-33162
20250321,4546,4940,-394,36134,6815,29319,14590,50178,-35588
20250324,4534,4665,-131,36083,6819,29264,14104,50165,-36061
20250325,3718,5410,-1692,36176,6752,29424,15641,47521,-31880
20250326,3382,4474,-1092,36059,6753,29306,15683,48699,-33016
20250327,4514,5473,-959,36020,6956,29064,14125,50539,-36414
20250328,5161,5326,-165,36354,7478,28876,13875,50572,-36697
20250331,4763,5738,-975,37126,7961,29165,18157,47470,-29313
20250401,4499,5726,-1227,37940,7734,30206,17363,46748,-29385
20250402,4980,6571,-1591,37531,7731,29800,19514,43799,-24285
20250407,4603,6455,-1852,37531,7731,29800,18576,43727,-25151
20250408,5590,4658,932,38117,10461,27656,18277,48354,-30077
20250409,6784,4426,2358,38173,10848,27325,19331,47202,-27871
20250410,6539,5543,996,38153,10848,27305,23058,45708,-22650
20250411,5202,6679,-1477,40309,7678,32631,24440,47988,-23548
20250414,6752,7715,-963,41504,8571,32933,22815,46698,-23883
20250415,6706,8264,-1558,42950,9271,33679,27727,50125,-22398
20250416,4663,3492,1171,44921,11518,33403,16129,44854,-28725
20250417,4595,3586,1009,46079,11524,34555,15129,44999,-29870
20250418,4484,3475,1009,46229,11673,34556,16261,45323,-29062
20250421,4583,4009,574,45876,12010,33866,18650,45220,-26570
20250422,5090,3816,1274,41910,11691,30219,20010,47141,-27131
20250423,5169,4618,551,43496,10380,33116,21290,49035,-27745
20250424,4998,4306,692,43225,9952,33273,18921,46279,-27358
20250425,4995,5129,-134,42775,8631,34144,20681,44379,-23698
20250428,5153,4890,263,42526,8520,34006,19042,43812,-24770
20250429,5481,4952,529,42764,8328,34436,19183,44549,-25366
20250430,4941,5224,-283,42969,8603,34366,18881,41611,-22730
20250502,4977,6582,-1605,43453,8097,35356,20118,43031,-22913
20250505,5599,5938,-339,44767,8932,35835,17950,44109,-26159
20250506,6549,5607,942,45993,9604,36389,18527,49684,-31157
20250507,6160,5266,894,47116,10703,36413,19556,50199,-30643
20250508,6370,6398,-28,48222,10529,37693,21531,51551,-30020
20250509,6757,7725,-968,49093,9921,39172,20668,53939,-33271
20250512,6867,7947,-1080,50802,9953,40849,20937,57684,-36747
20250513,6164,9116,-2952,51991,9748,42243,19749,56262,-36513
20250514,5423,9123,-3700,52736,9548,43188,20967,57250,-36283
20250515,4779,8106,-3327,52652,9596,43056,20419,57627,-37208
20250516,4644,7808,-3164,52834,9784,43050,20970,58177,-37207
20250519,4797,7617,-2820,52569,10110,42459,23408,61121,-37713
20250520,4254,7068,-2814,53323,10115,43208,31993,69837,-37844
20250521,2812,4283,-1471,55130,11031,44099,21562,60408,-38846
20250522,3741,4706,-965,54661,11539,43122,22266,62922,-40656
20250523,4111,4769,-658,53893,11666,42227,21597,61714,-40117
20250526,5784,4202,1582,54270,12461,41809,22250,64007,-41757
20250527,7182,4329,2853,54182,13288,40894,22307,65814,-43507
20250528,7170,4595,2575,54393,13297,41096,22262,65466,-43204
20250529,7570,4371,3199,53104,13284,39820,21510,68524,-47014
20250602,8751,4959,3792,51504,13784,37720,21144,66537,-45393
20250603,7268,4584,2684,50113,13648,36465,22652,62122,-39470
20250604,6770,4699,2071,51121,13128,37993,25042,62207,-37165
20250605,6776,5074,1702,52445,13053,39392,23708,60806,-37098
20250606,6896,5027,1869,51296,13210,38086,22585,61126,-38541
20250609,6919,4841,2078,51335,13005,38330,22939,61526,-38587
20250610,5523,5643,-120,52188,12742,39446,25901,63032,-37131
20250611,5286,5468,-182,51944,12420,39524,25829,61559,-35730
20250612,6345,5788,557,52263,12281,39982,22900,61876,-38976
20250613,8415,4961,3454,52445,13086,39359,23361,65361,-42000
20250616,8483,4508,3975,50018,13228,36790,23505,64541,-41036
20250617,9090,4139,4951,51048,13734,37314,29056,70457,-41401
20250618,8189,2889,5300,52201,13877,38324,21552,66602,-45050
20250619,9059,3183,5876,51361,13767,37594,18676,64062,-45386
20250620,9464,3376,6088,51439,13987,37452,19103,63564,-44461
20250623,10280,3287,6993,52925,14292,38633,20591,64388,-43797
20250624,9066,3612,5454,53877,13743,40134,22222,65715,-43493
20250625,9530,3813,5717,55278,13433,41845,22530,68346,-45816
20250626,10874,3659,7215,55757,13785,41972,23956,72744,-48788
20250627,12922,3623,9299,57968,13920,44048,22618,75299,-52681
20250630,12338,3618,8720,59274,13913,45361,23601,75602,-52001
20250701,10814,3999,6815,60622,13774,46848,25313,77830,-52517
20250702,11348,3886,7462,61428,13774,47654,21867,76813,-54946
20250703,10912,5077,5835,62494,13457,49037,22377,73534,-51157
20250704,11492,4060,7432,62185,13674,48511,20056,75267,-55211
20250707,11178,4028,7150,61619,13702,47917,18162,74950,-56788
20250708,11338,3550,7788,63182,13943,49239,18043,75573,-57530
20250709,10906,3990,6916,63952,13733,50219,16670,75381,-58711
20250710,10478,4576,5902,63963,13585,50378,16897,73265,-56368
20250711,10507,4874,5633,65376,13403,51973,16583,74075,-57492
20250714,11210,4504,6706,64969,13658,51311,15888,75761,-59873
20250715,10213,4478,5735,64883,13410,51473,20444,75796,-55352
20250716,7231,3440,3791,64811,12947,51864,16792,70188,-53396
20250717,7292,3673,3619,62923,12504,50419,18670,70887,-52217
20250718,7088,3591,3497,57751,12196,45555,19259,67269,-48010
20250721,7659,3350,4309,55902,12249,43653,18223,64779,-46556
