日期,自營商多,自營商空,自營商多空淨額,投信多,投信空,投信多空淨額,外資多,外資空,外資多空淨額
20250103,,,248,,,25451,,,-42032
20250103,,,-771,,,25676,,,-40347
20250106,,,-898,,,25676,,,-39969
20250106,,,-2943,,,26518,,,-36020
20250107,,,-3891,,,26518,,,-31155
20250107,,,-3351,,,25803,,,-30346
20250108,,,-1750,,,25803,,,-34885
20250108,,,-1356,,,25345,,,-36636
20250109,,,-997,,,25345,,,-38528
20250109,,,-254,,,24937,,,-39481
20250110,,,-701,,,24937,,,-41101
20250110,,,-341,,,25247,,,-41948
20250113,,,-215,,,25247,,,-42655
20250113,,,837,,,25924,,,-43150
20250114,,,1163,,,25912,,,-42541
20250114,,,1122,,,26344,,,-42646
20250115,,,931,,,26357,,,-41261
20250115,,,2067,,,26258,,,-43349
20250116,,,879,,,26258,,,-38512
20250116,,,-473,,,24557,,,-36592
20250117,,,-993,,,24557,,,-33156
20250117,,,-1060,,,24454,,,-33364
20250120,,,-430,,,24454,,,-33467
20250120,,,-48,,,24382,,,-34721
20250121,,,-146,,,24382,,,-33712
20250121,,,-603,,,24480,,,-33765
20250122,,,-1289,,,24480,,,-33069
20250122,,,-722,,,24508,,,-32598
20250203,,,-574,,,24508,,,-32880
20250203,,,1134,,,24468,,,-35654
20250204,,,441,,,24514,,,-34490
20250204,,,212,,,24675,,,-34333
20250205,,,-330,,,24675,,,-33081
20250205,,,-794,,,24966,,,-33255
20250206,,,-958,,,24966,,,-32095
20250206,,,-1341,,,24689,,,-31256
20250207,,,-1407,,,24689,,,-30763
20250207,,,-2291,,,24619,,,-30034
20250210,,,-1962,,,24619,,,-28873
20250210,,,-169,,,24018,,,-30674
20250211,,,-625,,,24018,,,-31015
20250211,,,-51,,,23793,,,-31584
20250212,,,-88,,,23793,,,-30875
20250212,,,-62,,,24647,,,-31222
20250213,,,-72,,,24647,,,-31391
20250213,,,-196,,,24549,,,-31653
20250214,,,309,,,24549,,,-32958
20250214,,,866,,,24900,,,-34868
20250217,,,394,,,24900,,,-33429
20250217,,,-1595,,,24066,,,-29949
20250218,,,-1245,,,24066,,,-29609
20250218,,,-1222,,,23537,,,-28912
20250219,,,-585,,,23537,,,-29599
20250219,,,-1625,,,22972,,,-27150
20250220,,,-2219,,,22972,,,-25615
20250220,,,-2061,,,23921,,,-24282
20250221,,,-2027,,,23921,,,-24574
20250221,,,-2815,,,24640,,,-25533
20250224,,,-2466,,,24640,,,-26486
20250224,,,-1395,,,23308,,,-28302
20250225,,,-833,,,23308,,,-33682
20250225,,,-672,,,23041,,,-33832
20250226,,,-150,,,23041,,,-36602
20250226,,,-879,,,23532,,,-35011
20250227,,,-1356,,,23532,,,-33723
20250227,,,-389,,,24758,,,-36426
20250303,,,382,,,24758,,,-37956
20250303,,,1569,,,26308,,,-44190
20250304,,,1637,,,26308,,,-44091
20250304,,,784,,,27143,,,-44023
20250305,,,1357,,,27143,,,-43867
20250305,,,-729,,,27535,,,-41225
20250306,,,-392,,,27548,,,-40473
20250306,,,177,,,27636,,,-40370
20250307,,,599,,,27636,,,-40635
20250307,,,880,,,27061,,,-40458
20250310,,,1502,,,27061,,,-40492
20250310,,,2272,,,27259,,,-41447
20250311,,,2759,,,27259,,,-42935
20250311,,,3263,,,27999,,,-45697
20250312,,,2979,,,27999,,,-44820
20250312,,,1571,,,29063,,,-43588
20250313,,,703,,,29063,,,-42313
20250313,,,1102,,,29782,,,-41643
20250314,,,1221,,,29782,,,-41663
20250314,,,1448,,,29941,,,-41998
20250317,,,912,,,29941,,,-40905
20250317,,,-113,,,30273,,,-40957
20250318,,,-1141,,,30273,,,-38302
20250318,,,-1187,,,30084,,,-39405
20250319,,,-321,,,30084,,,-39089
20250319,,,1189,,,29603,,,-40047
20250320,,,-233,,,29591,,,-35486
20250320,,,-1407,,,29665,,,-33603
20250321,,,-1234,,,29665,,,-33697
20250321,,,-374,,,29319,,,-35104
20250324,,,-294,,,29319,,,-35790
20250324,,,-49,,,29264,,,-36170
20250325,,,-479,,,29264,,,-35885
20250325,,,-1647,,,29424,,,-33365
20250326,,,-1605,,,29424,,,-32065
20250326,,,-991,,,29306,,,-33016
20250327,,,-591,,,29306,,,-34264
20250327,,,-919,,,29064,,,-34103
20250328,,,-663,,,29064,,,-36757
20250328,,,-165,,,28876,,,-36701
20250331,,,-247,,,28865,,,-34584
20250331,,,-867,,,29165,,,-30807
20250401,,,-264,,,29165,,,-31482
20250401,,,-1100,,,30206,,,-29598
20250402,,,-1668,,,30206,,,-27908
20250402,,,-1613,,,29800,,,-25937
20250407,,,-1573,,,29800,,,-25591
20250407,,,-1873,,,29800,,,-24710
20250408,,,-1003,,,27576,,,-19944
20250408,,,911,,,27656,,,-29975
20250409,,,1588,,,27656,,,-29766
20250409,,,2659,,,27325,,,-27807
20250410,,,584,,,27325,,,-24394
20250410,,,993,,,27305,,,-24283
20250411,,,181,,,28086,,,-20323
20250411,,,-1496,,,32631,,,-25262
20250414,,,-1231,,,32644,,,-24387
20250414,,,-1155,,,32933,,,-23775
20250415,,,-1113,,,32922,,,-23765
20250415,,,-1690,,,33679,,,-22604
20250416,,,-1685,,,33679,,,-23128
20250416,,,-392,,,33395,,,-23370
20250417,,,684,,,33403,,,-26710
20250417,,,997,,,34555,,,-29811
20250418,,,634,,,34555,,,-27697
20250418,,,1014,,,34556,,,-29024
20250421,,,1024,,,34556,,,-28989
20250421,,,585,,,33866,,,-26513
20250422,,,234,,,33866,,,-26275
20250422,,,1192,,,30219,,,-26004
20250423,,,1131,,,30219,,,-27120
20250423,,,486,,,33116,,,-27849
20250424,,,798,,,33116,,,-27437
20250424,,,723,,,33273,,,-27281
20250425,,,-136,,,33273,,,-26383
20250425,,,-152,,,34144,,,-25961
20250428,,,7,,,34144,,,-23845
20250428,,,255,,,34006,,,-24770
20250429,,,252,,,34006,,,-24831
20250429,,,528,,,34436,,,-25366
20250430,,,488,,,34436,,,-25704
20250430,,,-335,,,34366,,,-22816
20250502,,,-800,,,34366,,,-23073
20250502,,,-1605,,,35356,,,-23063
20250505,,,-1374,,,35356,,,-23401
20250505,,,-326,,,35835,,,-26112
20250506,,,274,,,35835,,,-27732
20250506,,,899,,,36389,,,-29346
20250507,,,1130,,,36389,,,-30525
20250507,,,888,,,36413,,,-30643
20250508,,,521,,,36413,,,-31061
20250508,,,-19,,,37693,,,-30102
20250509,,,165,,,37693,,,-32634
20250509,,,-950,,,39172,,,-33339
20250512,,,-578,,,39172,,,-32772
20250512,,,-1052,,,40849,,,-36674
20250513,,,-1619,,,40849,,,-36354
20250513,,,-2923,,,42243,,,-36504
20250514,,,-4679,,,42243,,,-34649
20250514,,,-3688,,,43188,,,-36502
20250515,,,-3481,,,43188,,,-37160
20250515,,,-3310,,,43056,,,-37149
20250516,,,-3179,,,43056,,,-37199
20250516,,,-3169,,,43050,,,-37216
20250519,,,-2648,,,43050,,,-38189
20250519,,,-2789,,,42459,,,-37629
20250520,,,-3473,,,42459,,,-37002
20250520,,,-2766,,,43208,,,-37864
20250521,,,-2804,,,43208,,,-38268
20250521,,,-4247,,,44086,,,-35541
20250522,,,-936,,,44099,,,-40318
20250522,,,-946,,,43122,,,-40512
20250523,,,-1164,,,43122,,,-39710
20250523,,,-648,,,42227,,,-40169
20250526,,,-329,,,42227,,,-38285
20250526,,,1456,,,41809,,,-41731
20250527,,,1557,,,41809,,,-41450
20250527,,,2818,,,40894,,,-43339
20250528,,,2245,,,40894,,,-41604
20250528,,,2560,,,41096,,,-42189
20250529,,,2613,,,41096,,,-43089
20250529,,,3203,,,39820,,,-46885
20250602,,,2999,,,39820,,,-46041
20250602,,,3788,,,37720,,,-44446
20250603,,,3370,,,37720,,,-43252
20250603,,,2584,,,36465,,,-39680
20250604,,,2442,,,36465,,,-39647
20250604,,,2084,,,37993,,,-38787
20250605,,,2164,,,37993,,,-37130
20250605,,,1750,,,39392,,,-37064
20250606,,,1807,,,39392,,,-37678
20250606,,,1893,,,38086,,,-38461
20250609,,,1756,,,38086,,,-38058
20250609,,,2136,,,38330,,,-38551
20250610,,,1475,,,38330,,,-37545
20250610,,,-113,,,39446,,,-37200
20250611,,,-251,,,39446,,,-37292
20250611,,,-177,,,39524,,,-35811
20250612,,,-91,,,39524,,,-36915
20250612,,,496,,,39982,,,-38817
20250613,,,544,,,39982,,,-38367
20250613,,,3550,,,39359,,,-41882
20250616,,,2485,,,39359,,,-40120
20250616,,,3803,,,36790,,,-41058
20250617,,,3969,,,36790,,,-40537
20250617,,,5023,,,37314,,,-41421
20250618,,,5300,,,37314,,,-43511
20250618,,,3778,,,38324,,,-42444
20250619,,,5568,,,38324,,,-45335
20250619,,,5887,,,37594,,,-45273
20250620,,,5619,,,37594,,,-44658
20250620,,,6087,,,37452,,,-44371
20250623,,,6497,,,37452,,,-45170
20250623,,,7027,,,38633,,,-43752
20250624,,,6668,,,38633,,,-42424
20250624,,,5491,,,40134,,,-43589
